id,date,process,pending,approved
2536,11-07-2025,RBI-Chandigarh,0,29
2537,11-07-2025,RBI-Kochi,0,7
2544,09-07-2025,"Paytm Bank Noida",0,19
2546,10-07-2025,GS-1,0,8
2547,10-07-2025,"Paytm Bank Noida",0,19
2549,11-07-2025,GS-1,0,8
2551,10-07-2025,"Aakash Institue",0,35
2552,10-07-2025,"Bajaj Allianz-Noida",0,18
2554,11-07-2025,"Aakash Institue",0,29
2555,11-07-2025,"Bajaj Allianz-Noida",0,14
2559,10-07-2025,TANGEDCO,0,96
2561,11-07-2025,TANGEDCO,0,79
2568,10-07-2025,"DISH TV-OB",0,1
2570,10-07-2025,VD2H-OB,0,41
2571,11-07-2025,"DISH TV-OB",0,2
2573,11-07-2025,VD2H-OB,0,42
2574,10-07-2025,BSES-NOIDA,0,32
2575,10-07-2025,PSPCL,0,162
2577,11-07-2025,BSES-NOIDA,0,24
2578,11-07-2025,PSPCL,0,158
2581,11-07-2025,"Muthoot Finance",0,1
2583,12-07-2025,Mpokket,0,1
2584,12-07-2025,"Muthoot Finance",0,1
2585,12-07-2025,Unknown,0,88
2586,13-07-2025,Mpokket,0,138
2587,13-07-2025,"Muthoot Finance",0,1
2588,13-07-2025,Unknown,0,19
2589,12-07-2025,"MMT FILLER",0,9
2590,12-07-2025,"MMT Flight",0,28
2592,13-07-2025,"MMT FILLER",0,10
2593,13-07-2025,"MMT Flight",0,25
2692,12-07-2025,Adani,0,18
2693,12-07-2025,"GoQii-Inbound	",0,2
2694,12-07-2025,GoQii-Outbound,0,2
2695,12-07-2025,"HDFC PERSISTENCY",0,17
2696,12-07-2025,"I-Pru Mumbai ",0,40
2697,12-07-2025,"IDFC Cross Sale",0,171
2698,12-07-2025,"IDFC Digi Sales",0,12
2699,12-07-2025,Jio-Insure,0,12
2700,12-07-2025,"L&T SME",0,9
2701,12-07-2025,"L&T Services-Mumbai",0,24
2702,12-07-2025,MGL,0,22
2703,12-07-2025,"Nayara Mumbai",0,7
2704,12-07-2025,"Reliance Nippon",0,54
